netMosAvg,d2cLossAvg,e2eJitterAvg,d2cJitterAvg,e2eLossAvg,jitDepthAvg,playSpeedAvg
1.0363,53,867,867,53,3459,1.0
1.0,73,978,978,73,4024,1.0
1.0,88,1005,1005,88,4159,1.0
3.70496,12,88,88,12,4205,1.0
3.33682,16,283,283,16,3495,1.0
2.0806299999999998,30,510,510,30,2715,1.0
1.2115,45,727,727,45,2960,1.0
1.0,61,953,953,61,3398,1.0
1.0,77,974,974,77,3955,1.0
1.0,89,1022,1022,89,4098,1.0
3.63458,12,139,139,12,4041,1.0
3.02415,21,393,393,21,3161,1.0
1.70157,36,617,617,36,2720,1.0
1.0334,51,803,803,51,3450,1.0
1.02514,64,986,986,64,4043,1.0
1.0,81,1080,1080,81,4130,1.0
2.77057,34,260,260,34,4168,1.0
3.57902,11,209,209,11,3759,1.0
2.52147,26,438,438,26,2939,1.0
1.2016200000000001,43,687,687,43,2677,1.0
1.01348,55,835,835,55,3525,1.0
1.0,72,991,991,72,4101,1.0
1.0,87,937,937,87,4197,1.0
3.99287,4,100,100,4,4215,1.0
3.30407,16,292,292,16,3525,1.0
1.93153,32,564,564,32,2745,1.0
1.23011,47,767,767,47,3012,1.0
1.0,59,995,995,59,3890,1.0
1.0,77,1049,1049,77,4221,1.0
1.0,89,1063,1063,89,4262,1.0
3.65521,9,145,145,9,4159,1.0
2.71751,24,384,384,24,3299,1.0
1.61988,37,609,609,37,2779,1.0
1.0,55,802,802,55,3330,1.0
1.0,70,933,933,70,3929,1.0
1.0,83,1229,1229,83,4088,1.0
2.6377599999999997,37,325,325,37,4157,1.0
3.51419,13,222,222,13,3770,1.0
2.59504,25,443,443,25,2970,1.0
1.33025,41,688,688,41,3049,1.0
0.999869,58,833,833,58,3460,1.0
1.0,71,1005,1005,71,4047,1.0
1.0,87,1175,1175,87,4142,1.0
3.3816300000000004,19,160,160,19,4152,1.0
3.31514,16,280,280,16,3462,1.0
2.1509,32,543,543,32,2682,1.0
1.15392,45,764,764,45,3051,1.0
1.0,62,903,903,62,3411,1.0
1.0,76,932,932,76,4118,1.0
1.0,88,1045,1045,88,4137,1.0
3.6567,11,136,136,11,4041,1.0
2.89907,22,392,392,22,3181,1.0
1.59223,37,613,613,37,2790,1.0
1.0368899999999999,50,809,809,50,3634,1.0
1.0,65,1032,1032,65,4074,1.0
1.0,82,1012,1012,82,4148,1.0
3.21807,28,355,355,28,4164,1.0
3.57334,12,210,210,12,3755,1.0
2.44468,27,468,468,27,2935,1.0
1.3147799999999998,44,666,666,44,2796,1.0
1.0263799999999998,57,879,879,57,3744,1.0
1.0,72,1041,1041,72,4100,1.0
1.0,86,953,953,86,4103,1.0
3.3546400000000003,20,207,207,20,4133,1.0
3.3726800000000003,15,303,303,15,3444,1.0
2.08795,31,547,547,31,2664,1.0
1.1876799999999998,46,749,749,46,2648,1.0
1.0,61,925,925,61,3529,1.0
1.0,78,997,997,78,3942,1.0
1.0,90,1065,1065,90,4113,1.0
3.63847,11,135,135,11,4020,1.0
3.0792599999999997,21,376,376,21,3160,1.0
1.71112,36,579,579,36,2670,1.0
1.07003,49,814,814,49,3069,1.0
1.0,65,1004,1004,65,3890,1.0
1.0,82,975,975,82,4175,1.0
2.7352,36,356,356,36,4241,1.0
3.45626,13,211,211,13,3833,1.0
2.67634,26,450,450,26,3033,1.0
1.20915,42,664,664,42,2762,1.0
0.999208,58,896,896,58,3475,1.0
1.0,69,940,940,69,4083,1.0
1.0,88,1162,1162,88,4074,1.0
4.019819999999999,4,101,101,4,4107,1.0
3.21449,17,301,301,17,3417,1.0
2.1238799999999998,31,528,528,31,2644,1.0
1.15963,47,810,810,47,3062,1.0
0.999175,62,885,885,62,3835,1.0
1.0,76,973,973,76,4111,1.0
1.0,90,1037,1037,90,4208,1.0
3.63807,12,142,142,12,4128,1.0
2.69339,21,400,400,21,3288,1.0
1.7215900000000002,36,601,601,36,2728,1.0
1.00908,52,831,831,52,3552,1.0
1.0,65,973,973,65,4084,1.0
1.0,82,1108,1108,82,4139,1.0
2.54957,43,386,386,43,4188,1.0
3.51085,13,219,219,13,3782,1.0
2.47189,26,440,440,26,2982,1.0
1.3688799999999999,41,712,712,41,2771,1.0
1.01242,54,837,837,54,3636,1.0
1.0,69,974,974,69,4111,1.0
1.0,85,978,978,85,4150,1.0
3.61425,14,100,100,14,4179,1.0
3.41846,15,288,288,15,3489,1.0
1.9921400000000002,33,523,523,33,2689,1.0
1.31518,45,719,719,45,2940,1.0
1.0,62,961,961,62,3591,1.0
1.0,79,1148,1148,79,4101,1.0
1.0,90,1018,1018,90,4223,1.0
3.80652,8,142,142,8,4130,1.0
2.56108,25,415,415,25,3270,1.0
1.45784,39,582,582,39,2646,1.0
1.0428,55,820,820,55,3168,1.0
1.0,68,981,981,68,4112,1.0
1.0,84,1128,1128,84,4220,1.0
2.7532900000000002,36,407,407,36,4269,1.0
3.47902,13,219,219,13,3863,1.0
2.42188,28,447,447,28,3063,1.0
1.39088,40,672,672,40,2889,1.0
1.0079799999999999,57,899,899,57,3793,1.0
1.0,71,981,981,71,4068,1.0
1.0,87,1147,1147,87,4152,1.0
3.60066,10,106,106,10,4178,1.0
3.43591,15,312,312,15,3488,1.0
2.20059,31,558,558,31,2708,1.0
1.21335,45,760,760,45,2993,1.0
1.0,60,896,896,60,3607,1.0
1.0,79,1021,1021,79,4119,1.0
1.0,89,1003,1003,89,4183,1.0
3.85086,6,146,146,6,4079,1.0
2.88802,22,392,392,22,3219,1.0
1.7446700000000002,36,601,601,36,2642,1.0
